test 83: no_error_count: 120728, error_count: 80, ARE: 0.995924911895955, counter_report: 46303
test 84: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46913
test 85: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47277
test 86: no_error_count: 120800, error_count: 8, ARE: 1.0752346961579198, counter_report: 46699
test 87: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46642
test 88: no_error_count: 120807, error_count: 1, ARE: 0, counter_report: 47015
test 89: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46561
test 90: no_error_count: 120507, error_count: 301, ARE: 1.1374925265697715, counter_report: 44962
test 91: no_error_count: 120800, error_count: 8, ARE: 0.9608225362479413, counter_report: 46442
test 92: no_error_count: 120804, error_count: 4, ARE: 0.7385847782639227, counter_report: 45307
test 93: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47317
test 94: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47098
test 95: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 45995
test 96: no_error_count: 120804, error_count: 4, ARE: 0.7147172867839512, counter_report: 46778
test 97: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46963
test 98: no_error_count: 120804, error_count: 4, ARE: 0.7519525493663425, counter_report: 46262
test 99: no_error_count: 120792, error_count: 16, ARE: 1.9507380979059006, counter_report: 45161
test 100: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47113
test 1: no_error_count: 120792, error_count: 16, ARE: 1.2988613550232118, counter_report: 46954
test 2: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46770
test 3: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46833
test 4: no_error_count: 120776, error_count: 32, ARE: 1.0633191687782932, counter_report: 46112
test 5: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47081
test 6: no_error_count: 120807, error_count: 1, ARE: 0, counter_report: 45766
test 7: no_error_count: 120424, error_count: 384, ARE: 1.1219737578038886, counter_report: 45474
test 8: no_error_count: 120784, error_count: 24, ARE: 1.261783784314633, counter_report: 45865
test 9: no_error_count: 120760, error_count: 48, ARE: 1.010400833294719, counter_report: 46508
test 10: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46975
test 11: no_error_count: 120784, error_count: 24, ARE: 0.8867844102132532, counter_report: 47159
test 12: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46616
test 13: no_error_count: 120801, error_count: 7, ARE: 0.7127402619803003, counter_report: 46857
test 14: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47013
test 15: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46851
test 16: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46514
test 17: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46433
test 18: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46352
test 19: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46983
test 20: no_error_count: 120686, error_count: 122, ARE: 1.4966257072165425, counter_report: 45189
test 21: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47752
test 22: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46781
test 23: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47139
test 24: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47192
test 25: no_error_count: 120792, error_count: 16, ARE: 0.8143629272287018, counter_report: 47019
test 26: no_error_count: 120748, error_count: 60, ARE: 1.389905601864917, counter_report: 45360
test 27: no_error_count: 120787, error_count: 21, ARE: 0.8520111595644588, counter_report: 46435
test 28: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46270
test 29: no_error_count: 120800, error_count: 8, ARE: 1.0095632605582598, counter_report: 46554
test 30: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46383
test 31: no_error_count: 120792, error_count: 16, ARE: 0.9961785878965184, counter_report: 45790
test 32: no_error_count: 120807, error_count: 1, ARE: 0, counter_report: 44797
test 33: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46669
test 34: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46927
test 35: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46972
test 36: no_error_count: 120768, error_count: 40, ARE: 1.2257983595273156, counter_report: 45838
test 37: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47182
test 38: no_error_count: 120807, error_count: 1, ARE: 0, counter_report: 46499
test 39: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46855
test 40: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46649
test 41: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46700
test 42: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47375
test 43: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47387
test 44: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46124
test 45: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46499
test 46: no_error_count: 120795, error_count: 13, ARE: 0.7796808941608635, counter_report: 46490
test 47: no_error_count: 120776, error_count: 32, ARE: 1.3647384279386183, counter_report: 45208
test 48: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47147
test 49: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46846
test 50: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47085
test 51: no_error_count: 120792, error_count: 16, ARE: 0.9487205927963522, counter_report: 45874
test 52: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46033
test 53: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47061
test 54: no_error_count: 120768, error_count: 40, ARE: 1.372786942833008, counter_report: 45890
test 55: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46383
test 56: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47061
test 57: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46319
test 58: no_error_count: 120792, error_count: 16, ARE: 1.0545431881695193, counter_report: 46077
test 59: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47538
test 60: no_error_count: 120792, error_count: 16, ARE: 1.099699798241017, counter_report: 46720
test 61: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46795
test 62: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46679
