test 81: no_error_count: 11857, error_count: 151, ARE: 2.2662741910326214, counter_report: 43911
test 82: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45201
test 83: no_error_count: 12000, error_count: 8, ARE: 1.1779023306563734, counter_report: 45395
test 84: no_error_count: 12000, error_count: 8, ARE: 0.9231028199124516, counter_report: 45469
test 85: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 44540
test 86: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45148
test 87: no_error_count: 11976, error_count: 32, ARE: 1.4306093093661718, counter_report: 44829
test 88: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 44958
test 89: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45449
test 90: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45187
test 91: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45316
test 92: no_error_count: 11896, error_count: 112, ARE: 2.6551619120139534, counter_report: 44327
test 93: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 44242
test 94: no_error_count: 11984, error_count: 24, ARE: 2.1273843451312064, counter_report: 43391
test 95: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45715
test 96: no_error_count: 12000, error_count: 8, ARE: 0.9787123962869836, counter_report: 44354
test 97: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 44600
test 98: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 44520
test 99: no_error_count: 4539, error_count: 7469, ARE: 2.9686294740752803, counter_report: 42600
test 100: no_error_count: 11992, error_count: 16, ARE: 1.6053368440148477, counter_report: 45170
test 1: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45546
test 2: no_error_count: 12098, error_count: 96, ARE: 1.1869517793460058, counter_report: 45615
test 3: no_error_count: 12190, error_count: 4, ARE: 0.753645089639854, counter_report: 45381
test 4: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45296
test 5: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 44969
test 6: no_error_count: 12162, error_count: 32, ARE: 1.151490689623344, counter_report: 46429
test 7: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 44027
test 8: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45970
test 9: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 44953
test 10: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46205
test 11: no_error_count: 12186, error_count: 8, ARE: 0.9562251421942256, counter_report: 46374
test 12: no_error_count: 11978, error_count: 216, ARE: 1.328444866260108, counter_report: 45376
test 13: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45844
test 14: no_error_count: 11880, error_count: 314, ARE: 1.3498478284393969, counter_report: 45743
test 15: no_error_count: 12122, error_count: 72, ARE: 1.7652134559362498, counter_report: 45011
test 16: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45047
test 17: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45366
test 18: no_error_count: 12177, error_count: 17, ARE: 0.8964976942832383, counter_report: 45843
test 19: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46133
test 20: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45434
test 21: no_error_count: 12146, error_count: 48, ARE: 1.2145447178796447, counter_report: 45355
test 22: no_error_count: 12146, error_count: 48, ARE: 1.3986423969920792, counter_report: 43957
test 23: no_error_count: 12186, error_count: 8, ARE: 1.5112004931771061, counter_report: 44870
test 24: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45797
test 25: no_error_count: 12162, error_count: 32, ARE: 1.0586565097754612, counter_report: 45384
test 26: no_error_count: 12186, error_count: 8, ARE: 1.162506290706448, counter_report: 45146
test 27: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45407
test 28: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46106
test 29: no_error_count: 12178, error_count: 16, ARE: 1.2635753468003577, counter_report: 45164
